			InitPhi	FinPhi	NoPhi	WtP	StrongStart	TopF
			InitPhi	FinPhi	NoPhi	WtP	StrongStart	TopF
[SOV]	[‘S][‘’OV]			1	2			
	[‘S][V’’O]		1		2			
	[‘’S][‘OV]			1	2	1		
	[‘’S][V’O]		1		2	1		
	[‘S V][‘’O]			1	2			
	[V’S][‘’O]		1		2		1	
	[‘’O][‘SV]			1	2			1
	[‘O][‘’SV]			1	2	1		1
	[‘S][V][‘’O]		1	1	3			
[SV]	[‘’S V]			1	1			
	[‘’V S]			1	1	1	1	
	[V ‘’S]		1		1			
	[S ‘’V]		1		1	1		
	[‘’S][‘V]				2			
